"SiteId"	"SampId"	"MonitoringProgram"	"Day"	"Month"	"Year"	"Station.nb."	"Watercourse"	"Locality"	"Canton"	"X"	"Y"	"Altitude"	"Sampling.window"	"IBCH.index"	"SPEAR.index"	"Latitude"	"Longitude"
"CSCF_RHO 85.2_VS"	"CSCF_RHO 85.2_VS_2011-03-01"	"Other programs"	1	3	2011	"RHO 85.2_VS"	"Rhône"	"Rhône, Rhône"	"Valais"	610242	127793	540	1	12	55.8	46.3014647142376	7.57157006543815
"CSCF_RHO 87.5_VS"	"CSCF_RHO 87.5_VS_2011-03-01"	"Other programs"	1	3	2011	"RHO 87.5_VS"	"Rhône"	"Rhône, Rottensand"	"Valais"	612189	128772	563	1	13	54.4	46.3102389136342	7.59686609457813
"CSCF_GAM 01.6_VS"	"CSCF_GAM 01.6_VS_2011-03-29"	"Other programs"	29	3	2011	"GAM 01.6_VS"	"Gamsa"	"Gamsa, Aval prise d'eau SSE"	"Valais"	639370	127207	784	2	14	65.2	46.2951186092132	7.94957145312141
"CSCF_BUT 00.5_VS"	"CSCF_BUT 00.5_VS_2011-03-02"	"Other programs"	2	3	2011	"BUT 00.5_VS"	"Buttenbach"	"Buttenbach"	"Valais"	611521	127181	415	1	13	34.8	46.2959387118767	7.58815527720931
"CSCF_RHO 83.9_VS"	"CSCF_RHO 83.9_VS_2011-03-01"	"Other programs"	1	3	2011	"RHO 83.9_VS"	"Rhône"	"Rhône, Aval Finges"	"Valais"	609168	127121	590	1	13	56.2	46.2954351792671	7.55761721983405
"CSCF_RUS 02.5_VS"	"CSCF_RUS 02.5_VS_2011-03-02"	"Other programs"	2	3	2011	"RUS 02.5_VS"	"Russbrunnubach"	"Russbrunnubach, Russubrunnu"	"Valais"	612112	128910	569	1	13	43.4	46.3114816970292	7.59587012695483
"CSCF_JU_BI_06"	"CSCF_JU_BI_06_2011-03-10"	"Other programs"	10	3	2011	"JU_BI_06"	"Birse"	"Roche Saint Jean"	"Jura"	596265	240519	470	1	14	33	47.3155329331181	7.38923908799453
"CSCF_JU_BI_07.6"	"CSCF_JU_BI_07.6_2011-03-07"	"Other programs"	7	3	2011	"JU_BI_07.6"	"Birse"	"Les Rondez"	"Jura"	594185	246560	410	1	16	44	47.3698528268603	7.3616512235056
"CSCF_JU_BI_08"	"CSCF_JU_BI_08_2011-03-07"	"Other programs"	7	3	2011	"JU_BI_08"	"Birse"	"Bellerive amont"	"Jura"	594073	247488	410	1	16	38.7	47.3781985186204	7.36015615273267
"CSCF_JU_BI_09"	"CSCF_JU_BI_09_2011-03-07"	"Other programs"	7	3	2011	"JU_BI_09"	"Birse"	"Les Riedes"	"Jura"	597523	249370	386	1	14	41.5	47.3951476835754	7.40582814884801
"CSCF_JU_CY_01"	"CSCF_JU_CY_01_2011-04-05"	"Other programs"	5	4	2011	"JU_CY_01"	"Corbery"	"Bonfol frontière"	"Jura"	580310	257456	441	2	15	48.1	47.4675841732379	7.17747826528332
"CSCF_JU_CY_02"	"CSCF_JU_CY_02_2011-03-30"	"Other programs"	30	3	2011	"JU_CY_02"	"Corbery"	"Etang du Moulin aval"	"Jura"	578763	257849	437	1	10	22.1	47.4710706849762	7.15694104452646
"CSCF_JU_VA_01"	"CSCF_JU_VA_01_2011-03-14"	"Other programs"	14	3	2011	"JU_VA_01"	"Bief de Vautenaivre"	"Confluence Doubs"	"Jura"	562870	236452	490	1	17	56.8	47.2779189642886	6.9479078964305
"CSCF_JU_DO_12"	"CSCF_JU_DO_12_2011-03-20"	"Other programs"	20	3	2011	"JU_DO_12"	"Doubs"	"Le Refrain aval"	"Jura"	557264	227017	545	1	20	39.8	47.192717674321	6.87471418927451
