;column name;unit/type;topic;explanation;further information;link to tab Data_Sources;data owner;license required;spatial context;responsible @ eawag;data example;data example;data example
;REB;m2;landuse;vineyards, not included in ACK;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0;0
;KW;m2;landuse;Kunstwiesen = temporary grasslands on crop rotation fields, included in both, ACK and GRUE;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;741649.0922;5083452.04
;AJWW;m2;landuse;alpine and jurassic meadows;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;26310044.49;4981378.285;38408302.43
;NAWHW;m2;landuse;natural;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;4598475.581;80536701.58
;WALD;m2;landuse;forest (derived from vectordata);;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;12204085.82;19462436.29;115895908.2
;GRUE;m2;landuse;grassland (KW+AJWW+NAWHW);;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;26310044.49;10321502.96;124028456
;GVE;No.;landuse;"live stock unit (or ""cattle units"": number of animals equivalent to the number of cattles (1 cattle=500 kg )";;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;394.650667;773.536049;8115.252049
;ACK_ANT;%;landuse;Arable land;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;6.674509;2.363224
;HUEF_ANT;%;landuse;leguminous plants ;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0.00101001;5.45E-06
;KART_ANT;%;landuse;potatoes;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0.00093051;7.07E-05
;GETR_ANT;%;landuse;cereals;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0.02902328;0.00376975
;MAIS_ANT;%;landuse;corn;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0.00503618;0.00191497
;OBST_ANT;%;landuse;orchards, not included in ACK;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0.00232704;0.0005288
;RAPS_ANT;%;landuse;rape;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0.00553914;0.00023439
;RUEB_ANT;%;landuse;beet;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0.00433347;0.00011613
;GEM_ANT;%;landuse;vegetables;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;2.61E-05;2.85E-05
;REB_ANT;%;landuse;vineyards, not included in ACK;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;0;0
;KW_ANT;%;landuse;Kunstwiesen = temporary grasslands on crop rotation fields, included in both, ACK and GRUE;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;1.88148;1.676783
;AJWW_ANT;%;landuse;alpine and jurassic meadows;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;29.001694;12.637196;12.669024
;NAWHW_ANT;%;landuse;natural;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0;11.665815;26.565127
;WALD_ANT;%;landuse;forest (derived from vectordata);;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;13.452625;49.374011;38.228404
;GRUE_ANT;%;landuse;grassland;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;29.001694;26.184492;40.910934
;Landuse_ANT;%;landuse;land cover non overlapping: [SIED_ANT] + [ACK_ANT] + [AJWW_ANT] + [NAWHW_ANT] + [WALD_ANT];calculated by R.siber;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;42.47;85.92;84.52
;GLACIER;m2;landuse;Area of Glacier [m2] in catchment;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;568217.8157;0;0
;GLAC_ANT;%;landuse;Portion of Glacier in catchment;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;0.626349;0;0
;Population2014_Sum;No.;landuse;Population: Number of inhabitants (2014) in catchment;;Catchment;BAFU;;Polygon (Catchment);Rosi Siber;14;5493;58286
;LakeEZG_percent;%;lake;Fraction of lake catchment (only lakes larger than 2 km2) to total catchment;;Lakes;swisstopo;;Polygon (Catchment);Rosi Siber;<Null>;<Null>;<Null>
;DEM_EZG;m;lake;Mean elevation of total catchment in m;;swissALTI3D;swisstopo;;Polygon (Catchment);Rosi Siber;2391.124235;1036.066219;909.283111
;DEM_oLake;m;lake;"Mean elevation of catchment (excluding lake catchment; only lakes larger than 2 km2 )";;swissALTI3D;swisstopo;;Polygon (Catchment);Rosi Siber;<Null>;<Null>;<Null>
;DEM_SUB;m;lake;Mean elevation of sub catchment in m;;swissALTI3D;swisstopo;;Polygon (Catchment);Rosi Siber;1887.913613;535.745034;630.749009
;Residual_flow;;hydropower;"residual flow at site = 1; no residual flow = 0";;Residualflow;BAFU/HADES/EAWAG;;Point;Rosi Siber;0;0;0
;Residual_flow_Value;;hydropower;Proportion of estimated flow to minimum quantity of residual water;;Residualflow;BAFU/HADES/EAWAG;;Point;Rosi Siber;<Null>;<Null>;<Null>
;Residual_flow_Class;;hydropower;Proportion of estimated flow to minimum quantity of residual water (classification);;Residualflow;BAFU/HADES/EAWAG;;Point;Rosi Siber; ; ; 
;Hypeak_Stretch;;hydropower;"1= site on hydropeaking stretch; 0= no";;Hydropeaking Stretches_HADES;BAFU/HADES/EAWAG;;Point;Rosi Siber;0;0;0
;Hypeak_Site;;hydropower;"1= hydropeaking site upstream (up to 5 km) ; 0= no";;Hydropeaking Sites;BAFU/HADES/EAWAG;;Point;Rosi Siber;0;0;0
;Hypow_Dist;m;hydropower;Hydropower plants (WASTA): Distance to first hydropower plant upstream (up to  5km);;Hydropower plants (WASTA);BAFU/HADES/EAWAG;;Point;Rosi Siber;<Null>;<Null>;<Null>
;HypowAll_Dist;m;hydropower;All hydropower plants: Distance to first hydropower plant upstream (up to  5km);;Hydropower_all;BAFU/HADES/EAWAG;;Point;Rosi Siber;453.245019;3175.968796;9300.150581
;Hydropower_Sum;;hydropower;"Estimated influence of hydropower at site; sum up all hydropower fields:  0 = no; 1 and higher: the higher the value the more influence of hydropower expected."; ; ;;;Point;Rosi Siber;1;1;0
;Discharge;m3/s;discharge;"Discharge: Data source ""Mean Discharge""; if not available Data source ""Catchment""";;Mean Discharge / Catchment;BAFU;;Line (river_gwn);Rosi Siber;2.97;1.31;8.699954
;Discharge_Source;;discharge;Data source of discharge;;Mean Discharge / Catchment;BAFU;;;Rosi Siber;MQ_GWN_CH;MQ_GWN_CH;GAB_EZZ_CH
;Discharge_Validation;;discharge;"1= high confident (as data source is ""Mean Discharge""); 2=medium confident (""Catchment"", but validated); 3= low confident (""Catchment"" , not validated); Projectspezific: 99=unclear, 4= data corrected."; ;Mean Discharge / Catchment;BAFU;;;Rosi Siber;1;1;3
;UI;;land use;Urban land use weighted by discharge coefficients provided by Mutzner et al 2016;Discharge coefficients obtained from supplementary information;Areal Statistics 2009 and Mutzner et al. 2016;swisstopo;;Polygon (Catchment);Bogdan Caradima;0.002436476;0.097131786;0.079572466
